         1417213 function calls (1388518 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      216    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\algorithms\_comm_hooks\default_hooks.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\integerring.py:1(<module>)
      290    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\enum.py:785(__delattr__)
      172    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\plotting\intervalmath\interval_membership.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\ring.py:1(<module>)
        1    0.000    0.000    0.010    0.010 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\gymnasium\envs\registration.py:698(make)
        1    0.000    0.000    0.007    0.007 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\polyconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\calculus\odes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\traversal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\checkpoint.py:99(DefaultDeviceType)
        1    0.000    0.000    0.018    0.018 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_external_properties.py:1(<module>)
        1    0.000    0.000    0.960    0.960 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_composable\__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_inductor\exc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\ntheory\egyptian_fraction.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\calculus\polynomials.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_globals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_prims\context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\strategies\core.py:1(<module>)
      265    0.000    0.000    0.010    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:450(as_posix)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\fglmtools.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\_sympy\symbol.py:1(<module>)
        1    0.000    0.000    0.007    0.007 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_location.py:1(<module>)
        1    0.000    0.000    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\parameters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\simplify\epathtools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\testing\_internal\distributed\fake_pg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\plotting\textplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\plotting\plot_implicit.py:1(<module>)
        1    0.000    0.000    0.022    0.022 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\simplify\combsimp.py:1(<module>)
        1    0.000    0.000    0.043    0.043 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\solvers\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\printing\octave.py:65(OctaveCodePrinter)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\geometry\parabola.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\symbolic_opset20.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\algebras\quaternion.py:58(Quaternion)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_inductor\runtime\compile_tasks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_functional_collectives_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\pythonfinitefield.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\tensor\functions.py:1(<module>)
      172    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\utilities\decorator.py:178(public)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\calculus\finite_diff.py:1(<module>)
        1    0.000    0.000    0.009    0.009 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\_op_schema.py:71(PlacementStrategy)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\lazy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\matrices\dfm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\plotting\series.py:126(BaseSeries)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\concrete\gosper.py:1(<module>)
        1    0.000    0.000    0.005    0.005 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\strategies\branch\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\printing\codeprinter.py:53(CodePrinter)
      494    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:349(__set_name__)
      825    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\sharded_tensor\_ops\binary_cmp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\torch.py:331(TorchInGraphFunctionVariable)
        1    0.000    0.000    0.009    0.009 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\hooks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\companion.py:1(<module>)
     26/3    0.000    0.000    0.001    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:897(_apply)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\usertools.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\fsdp\_debug_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\funcmatrix.py:1(<module>)
        1    0.000    0.000    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\plotting\backends\textbackend\__init__.py:1(<module>)
        1    0.000    0.000    0.011    0.011 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_result.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\strategies\branch\traverse.py:1(<module>)
        1    0.000    0.000    0.010    0.010 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_tool.py:1(<module>)
      403    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\rationalfield.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\polyfills\itertools.py:1(<module>)
        1    0.000    0.000    0.006    0.006 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\__init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\interactive\__init__.py:1(<module>)
   126/28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\series\series_class.py:1(<module>)
     1305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.017    0.017 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\singularity_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_numpy\_ndarray.py:185(ndarray)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\relational.py:62(Relational)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\matrices\linalg.py:108(LinearAlgebraMethods)
      263    0.000    0.000    0.001    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\utilities\iterables.py:3083(is_sequence)
       69    0.000    0.000    0.001    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:272(contextmanager)
        1    0.000    0.000    0.000    0.000 {built-in method torch.multinomial}
     1179    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      103    0.000    0.000    0.009    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:1519(__getitem__)
      744    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\geometry\line.py:50(LinearEntity)
        1    0.000    0.000    0.073    0.073 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\__init__.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {method 'uniform_' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\sharded_tensor\metadata.py:1(<module>)
        1    0.000    0.000    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\concrete\expr_with_intlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\mutation_guard.py:17(MutationTracker)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\sharded_tensor\_ops\misc_ops.py:1(<module>)
      267    0.000    0.000    0.001    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:1157(__init__)
        1    0.000    0.000    0.020    0.020 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\matrices\__init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\inverse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\calculus\singularities.py:1(<module>)
        1    0.000    0.000    0.115    0.115 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\formatter.py:1(<module>)
        1    0.000    0.000    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_graph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\fx\passes\graph_transform_observer.py:1(<module>)
      772    0.000    0.000    0.001    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:1565(__eq__)
     1104    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_ops.py:871(overloadpacket)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\current_scope_id.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\assumptions\relation\binrel.py:1(<module>)
     1356    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\pythonrationalfield.py:1(<module>)
     1625    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:697(_is_kw_only)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\fx\patcher.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\singleton.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\printing\defaults.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\simplify\cse_opts.py:1(<module>)
        1    0.000    0.000    0.009    0.009 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_tool_component.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_functorch\_aot_autograd\logging_utils.py:1(<module>)
        1    0.000    0.000    0.004    0.004 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_notification.py:1(<module>)
        1    0.000    0.000    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_attachment.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\fsdp\_traversal_utils.py:1(<module>)
       68    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1428(_fixupParents)
     1393    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:741(dot)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\printing\tree.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_run_automation_details.py:1(<module>)
        1    0.000    0.000    0.052    0.052 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\numberfields\__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\matrices\exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\exceptions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\polyfills\os.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_sarif_log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\ntheory\multinomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\strategies\util.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\plotting\backends\matplotlibbackend\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\pythonintegerring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domainmatrix.py:1(<module>)
        1    0.000    0.000    0.008    0.008 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\solvers\diophantine\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\sets\contains.py:1(<module>)
        3    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:670(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\fx\passes\fake_tensor_prop.py:1(<module>)
        1    0.000    0.000    0.008    0.008 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\parallel\api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\plotting\pygletplot\__init__.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\gmpyfinitefield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\replay_record.py:19(DummyModule)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\transpose.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\symbolic_opset15.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\strategies\tools.py:1(<module>)
        1    0.000    0.000    0.009    0.009 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_artifact.py:1(<module>)
        1    0.000    0.000    0.012    0.012 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\strategies\__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_web_response.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\script_object.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\adjoint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\characteristiczero.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\sdpa.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\strategies\rl.py:1(<module>)
      340    0.000    0.000    0.001    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:1458(repl)
      875    0.000    0.000    0.000    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\printing\gtk.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_special_locations.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\graph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\gmpyrationalfield.py:1(<module>)
        1    0.000    0.000    0.011    0.011 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\parallel\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\domain.py:18(Domain)
        1    0.000    0.000    0.012    0.012 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\logic\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\strategies\tree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\gmpyintegerring.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\sharded_tensor\shard.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\callback.py:1(<module>)
        1    0.000    0.000    0.025    0.025 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\distributed.py:1(<module>)
        1    0.000    0.000    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_configuration_override.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\ctx_fp.py:12(FPContext)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\mathieu_functions.py:1(<module>)
        1    0.000    0.000    0.073    0.073 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\geometry\__init__.py:1(<module>)
       16    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:473(__init__)
      851    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\op_registry_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_external_property_file_reference.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_external_property_file_references.py:1(<module>)
        1    0.000    0.000    0.034    0.034 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\integrals\__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_edge_traversal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_artifact_change.py:1(<module>)
     1356    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:1142(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\utilities\exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\core.py:1(<module>)
