         1417213 function calls (1388518 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2652/2102    0.009    0.000    0.071    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\trace_rules.py:2883(load_object)
     1305    0.009    0.000    0.030    0.000 <frozen importlib._bootstrap>:304(acquire)
     1305    0.008    0.000    0.014    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1652    0.008    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    811/2    0.008    0.000    0.006    0.003 <frozen importlib._bootstrap>:911(_load_unlocked)
     1045    0.008    0.000    0.170    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:449(_create_fn)
        1    0.008    0.008    0.284    0.284 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\generalScripts\OBGuidance.py:103(ASRE)
       89    0.008    0.000    0.008    0.000 {built-in method nt.listdir}
    30134    0.008    0.000    0.008    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    17384    0.008    0.000    0.008    0.000 {built-in method builtins.setattr}
11766/11573    0.008    0.000    0.020    0.000 {method 'join' of 'str' objects}
     1245    0.008    0.000    0.067    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:944(getsourcefile)
    23389    0.007    0.000    0.016    0.000 {built-in method builtins.all}
     1305    0.007    0.000    0.013    0.000 <frozen importlib._bootstrap>:124(setdefault)
     6032    0.007    0.000    0.017    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\conflict.py:12(consistent)
     7184    0.007    0.000    0.007    0.000 {method 'astype' of 'numpy.ndarray' objects}
       89    0.007    0.000    0.034    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\conflict.py:24(ambiguities)
      253    0.007    0.000    0.009    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\linalg\linalg.py:329(solve)
    841/2    0.007    0.000    0.007    0.003 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     2504    0.006    0.000    0.006    0.000 {method 'dot' of 'numpy.ndarray' objects}
    10102    0.006    0.000    0.008    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:176(append)
     2869    0.006    0.000    0.009    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\tokenize.py:569(_generate_tokens_from_c_tokenizer)
     4234    0.006    0.000    0.011    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:1188(__setattr__)
31775/31593    0.006    0.000    0.006    0.000 {built-in method builtins.hash}
    12939    0.006    0.000    0.027    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\conflict.py:43(edge)
       89    0.006    0.000    0.038    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\conflict.py:56(ordering)
    17795    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     3653    0.005    0.000    0.013    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:51(normcase)
     2909    0.005    0.000    0.039    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:1816(getattr_static)
      826    0.005    0.000    0.350    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    10044    0.005    0.000    0.005    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.005    0.005    0.884    0.884 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_composable\fully_shard.py:1(<module>)
     6009    0.005    0.000    0.005    0.000 {built-in method numpy.array}
     1408    0.005    0.000    0.010    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:175(_type_check)
       71    0.005    0.000    0.870    0.012 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\library.py:255(impl)
    16028    0.005    0.000    0.005    0.000 {method 'get' of 'mappingproxy' objects}
    10115    0.005    0.000    0.005    0.000 {built-in method builtins.sorted}
